id,disease_name,symptoms,treatment,prevention,description
25,Thủy đậu,"Sốt, mệt mỏi, phát ban dạng mụn nước khắp cơ thể, ngứa.","Nghỉ ngơi, uống nhiều nước, thuốc hạ sốt, thuốc bôi giảm ngứa, cắt móng tay tránh gãi.","Tiêm vắc-xin phòng thủy đậu, cách ly người bệnh.","Bệnh truyền nhiễm do virus Varicella-zoster, thường gặp ở trẻ em."
26,Sởi,"Sốt cao, ho, sổ mũi, đau mắt, phát ban đỏ lan từ mặt xuống toàn thân.","Nghỉ ngơi, hạ sốt, bù nước, điều trị biến chứng (nếu có).","Tiêm vắc-xin phòng sởi, cách ly người bệnh.","Bệnh truyền nhiễm cấp tính do virus sởi, lây qua đường hô hấp."
27,Quai bị,"Sốt, đau và sưng tuyến nước bọt (dưới tai, dưới hàm), đau khi nhai.","Nghỉ ngơi, hạ sốt, ăn mềm, chườm ấm vùng sưng.","Tiêm vắc-xin phòng quai bị (MMR), cách ly người bệnh.","Bệnh truyền nhiễm do virus quai bị gây viêm tuyến nước bọt."
28,Rubella (Sởi Đức),"Sốt nhẹ, phát ban đỏ nhạt, sưng hạch sau tai và gáy.","Nghỉ ngơi, hạ sốt, không có thuốc đặc trị.","Tiêm vắc-xin phòng Rubella (MMR), tránh tiếp xúc khi mang thai.","Bệnh truyền nhiễm do virus Rubella, nguy hiểm cho thai nhi nếu mẹ nhiễm."
29,Tay chân miệng,"Sốt, loét miệng, phát ban dạng mụn nước ở tay, chân, mông.","Nghỉ ngơi, hạ sốt, uống nhiều nước, ăn mềm, giữ vệ sinh.","Rửa tay thường xuyên, vệ sinh đồ chơi, cách ly trẻ bệnh.","Bệnh truyền nhiễm do virus Coxsackie, thường gặp ở trẻ dưới 5 tuổi."
30,Viêm não Nhật Bản,"Sốt cao đột ngột, đau đầu dữ dội, buồn nôn, co giật, rối loạn ý thức.","Nhập viện điều trị hỗ trợ, không có thuốc đặc trị.","Tiêm vắc-xin phòng viêm não Nhật Bản, phòng muỗi đốt.","Bệnh viêm não do virus JE lây qua muỗi Culex, có thể để lại di chứng nặng."
31,Sốt rét (Malaria),"Sốt chu kỳ (rét run, sốt cao, ra mồ hôi), đau đầu, buồn nôn, mệt mỏi.","Thuốc chống sốt rét (Chloroquine, Artemisinin), nhập viện nếu nặng.","Ngủ màn tẩm thuốc, phun thuốc diệt muỗi, uống thuốc dự phòng khi đi vùng dịch.","Bệnh ký sinh trùng do Plasmodium lây qua muỗi Anopheles."
32,Lao phổi,"Ho kéo dài trên 2 tuần, ho ra máu, sốt nhẹ về chiều, đổ mồ hôi đêm, sụt cân.","Uống thuốc kháng lao (4-6 tháng), theo dõi chặt chẽ, cách ly giai đoạn đầu.","Tiêm vắc-xin BCG, tránh tiếp xúc gần với người bệnh, vệ sinh môi trường.","Bệnh nhiễm trùng phổi do vi khuẩn Mycobacterium tuberculosis."
33,Viêm màng não do não mô cầu,"Sốt cao, đau đầu dữ dội, cứng gáy, buồn nôn, nôn, phát ban xuất huyết.","Kháng sinh tĩnh mạch ngay lập tức, nhập viện cấp cứu.","Tiêm vắc-xin phòng não mô cầu, tránh tiếp xúc gần người bệnh.","Nhiễm trùng màng não do vi khuẩn Neisseria meningitidis, rất nguy hiểm."
34,Bạch hầu,"Đau họng, sốt, màng giả màu xám ở họng, khó thở, sưng cổ.","Kháng sinh, huyết thanh kháng độc tố, nhập viện cấp cứu.","Tiêm vắc-xin phòng bạch hầu (DPT), cách ly người bệnh.","Bệnh nhiễm trùng đường hô hấp do vi khuẩn Corynebacterium diphtheriae."
35,Ho gà,"Ho từng cơn dữ dội, kéo dài, tiếng hít vào như tiếng gà gáy, nôn sau ho.","Kháng sinh (giai đoạn đầu), điều trị hỗ trợ, theo dõi chặt chẽ.","Tiêm vắc-xin phòng ho gà (DPT), cách ly trẻ bệnh.","Bệnh nhiễm trùng đường hô hấp do vi khuẩn Bordetella pertussis."
36,Uốn ván,"Cứng hàm, khó mở miệng, co cứng cơ toàn thân, co giật.","Huyết thanh kháng độc tố, kháng sinh, điều trị hỗ trợ tại ICU.","Tiêm vắc-xin phòng uốn ván (DPT), vệ sinh vết thương đúng cách.","Nhiễm độc tố do vi khuẩn Clostridium tetani từ vết thương bẩn."
37,Tả,"Tiêu chảy phân nước vo gạo, nôn nhiều, mất nước nhanh, co cứng cơ.","Bù nước và điện giải (Oresol, truyền tĩnh mạch), kháng sinh.","Ăn chín uống sôi, vệ sinh cá nhân, tiêm vắc-xin phòng tả.","Bệnh tiêu chảy cấp do vi khuẩn Vibrio cholerae qua nước và thức ăn bẩn."
38,Lỵ trực trùng,"Tiêu chảy phân có máu và nhầy, đau bụng quặn, sốt, mót rặn.","Kháng sinh, bù nước và điện giải, nghỉ ngơi.","Ăn chín uống sôi, rửa tay trước khi ăn, vệ sinh thực phẩm.","Nhiễm trùng ruột do vi khuẩn Shigella qua đường tiêu hóa."
39,Thương hàn,"Sốt cao kéo dài, đau đầu, đau bụng, táo bón hoặc tiêu chảy, phát ban hồng.","Kháng sinh (Ciprofloxacin, Ceftriaxone), bù nước, nghỉ ngơi.","Ăn chín uống sôi, vệ sinh cá nhân, tiêm vắc-xin phòng thương hàn.","Bệnh nhiễm trùng hệ thống do vi khuẩn Salmonella typhi."
40,Viêm gan A,"Sốt, mệt mỏi, buồn nôn, vàng da, vàng mắt, đau bụng phải, nước tiểu sẫm.","Nghỉ ngơi, ăn uống nhẹ nhàng, không có thuốc đặc trị, tự khỏi sau 2-4 tuần.","Ăn chín uống sôi, vệ sinh cá nhân, tiêm vắc-xin phòng viêm gan A.","Viêm gan cấp do virus HAV lây qua đường tiêu hóa."
41,Viêm gan C,"Thường không triệu chứng, có thể mệt mỏi, vàng da (giai đoạn muộn).","Thuốc kháng virus trực tiếp (DAA), theo dõi chức năng gan.","Tránh dùng chung kim tiêm, bàn chải đánh răng, xét nghiệm máu trước truyền.","Viêm gan mãn tính do virus HCV, có thể dẫn đến xơ gan."
42,HIV/AIDS,"Giai đoạn đầu: sốt, phát ban, đau họng. Giai đoạn muộn: sụt cân, nhiễm trùng cơ hội, ung thư.","Thuốc kháng virus ARV suốt đời, điều trị nhiễm trùng cơ hội.","Quan hệ tình dục an toàn, không dùng chung kim tiêm, xét nghiệm trước truyền máu.","Suy giảm miễn dịch mắc phải do virus HIV phá hủy tế bào CD4."
43,Giun đũa,"Đau bụng, buồn nôn, tiêu chảy, sụt cân, có thể thấy giun trong phân.","Thuốc tẩy giun (Albendazole, Mebendazole).","Ăn chín uống sôi, rửa tay trước khi ăn, vệ sinh cá nhân.","Nhiễm giun đũa Ascaris lumbricoides qua thức ăn, nước bẩn."
44,Giun kim,"Ngứa hậu môn (đặc biệt về đêm), mất ngủ, bồn chồn.","Thuốc tẩy giun (Albendazole, Pyrantel), vệ sinh cá nhân, giặt đồ giường.","Rửa tay thường xuyên, cắt móng tay ngắn, giặt đồ lót nước nóng.","Nhiễm giun kim Enterobius vermicularis, phổ biến ở trẻ em."
45,Sán lá gan,"Đau bụng phải, buồn nôn, vàng da, sốt, gan to.","Thuốc tẩy sán (Praziquantel), phẫu thuật (nếu tắc mật).","Không ăn gỏi cá sống, rau sống không rửa sạch.","Nhiễm sán lá gan nhỏ Clonorchis sinensis qua cá nước ngọt sống."
46,Sán dây,"Đau bụng, tiêu chảy, sụt cân, có thể thấy đốt sán trong phân.","Thuốc tẩy sán (Praziquantel, Niclosamide).","Không ăn thịt lợn, thịt bò sống hoặc tái.","Nhiễm sán dây lợn/bò qua thịt nhiễm sán nang chưa nấu chín."
47,Viêm gan do rượu,"Mệt mỏi, đau bụng phải, vàng da, gan to, xơ gan (nếu tiến triển).","Ngừng rượu hoàn toàn, bổ sung vitamin, điều trị biến chứng.","Hạn chế hoặc không uống rượu bia.","Tổn thương gan do uống rượu bia nhiều và lâu dài."
48,Xơ gan,"Mệt mỏi, vàng da, bụng chướng (cổ trướng), chảy máu dễ dàng, rối loạn ý thức.","Điều trị nguyên nhân (viêm gan, rượu), hạn chế muối, lợi tiểu, ghép gan (nếu nặng).","Tiêm phòng viêm gan, không uống rượu, điều trị viêm gan sớm.","Giai đoạn cuối của bệnh gan mãn tính, mô gan bị xơ hóa."
49,Ung thư gan,"Đau bụng phải, sụt cân, mệt mỏi, vàng da, gan to cứng.","Phẫu thuật cắt gan, ghép gan, hóa trị, xạ trị, điều trị đích.","Tiêm phòng viêm gan B, không uống rượu, điều trị viêm gan mãn tính.","Khối u ác tính ở gan, thường do viêm gan B, C hoặc xơ gan."
50,Ung thư phổi,"Ho kéo dài, ho ra máu, khó thở, đau ngực, sụt cân.","Phẫu thuật, hóa trị, xạ trị, điều trị đích, miễn dịch trị liệu.","Không hút thuốc lá, tránh khói thuốc, hạn chế ô nhiễm không khí.","Khối u ác tính ở phổi, nguyên nhân chính là hút thuốc lá."
51,Ung thư dạ dày,"Đau bụng trên, buồn nôn, nôn, chán ăn, sụt cân, đầy bụng.","Phẫu thuật cắt dạ dày, hóa trị, xạ trị.","Ăn uống lành mạnh, hạn chế muối, thực phẩm hun khói, điều trị HP.","Khối u ác tính ở dạ dày, liên quan đến vi khuẩn HP và chế độ ăn."
52,Ung thư đại trực tràng,"Thay đổi thói quen đại tiện, phân có máu, đau bụng, sụt cân.","Phẫu thuật cắt đại tràng, hóa trị, xạ trị.","Ăn nhiều rau xanh, trái cây, hạn chế thịt đỏ, tập thể dục, sàng lọc định kỳ.","Khối u ác tính ở đại tràng hoặc trực tràng."
53,Ung thư vú,"Khối u ở vú, thay đổi hình dạng vú, núm vú tiết dịch, lõm da.","Phẫu thuật, hóa trị, xạ trị, nội tiết trị liệu, điều trị đích.","Tự khám vú hàng tháng, chụp nhũ ảnh định kỳ, lối sống lành mạnh.","Khối u ác tính ở vú, phổ biến nhất ở phụ nữ."
54,Ung thư cổ tử cung,"Chảy máu âm đạo bất thường, đau vùng chậu, tiết dịch bất thường.","Phẫu thuật, xạ trị, hóa trị.","Tiêm vắc-xin HPV, xét nghiệm tầm soát PAP smear định kỳ, quan hệ an toàn.","Khối u ác tính ở cổ tử cung, do virus HPV gây ra."
55,Ung thư tuyến tiền liệt,"Đi tiểu khó, đi tiểu nhiều lần, máu trong nước tiểu, đau xương (giai đoạn muộn).","Phẫu thuật, xạ trị, nội tiết trị liệu, hóa trị.","Khám sàng lọc PSA định kỳ (nam giới trên 50 tuổi), lối sống lành mạnh.","Khối u ác tính ở tuyến tiền liệt, phổ biến ở nam giới lớn tuổi."
56,Bệnh thận mãn,"Mệt mỏi, phù chân, buồn nôn, ngứa, khó thở, tiểu ít.","Lọc máu (thận nhân tạo), ghép thận, kiểm soát huyết áp và đường huyết.","Kiểm soát tốt tiểu đường, tăng huyết áp, tránh thuốc độc thận.","Suy giảm chức năng thận không hồi phục, cần lọc máu hoặc ghép thận."
57,Suy tim,"Khó thở, mệt mỏi, phù chân, ho, tim đập nhanh.","Thuốc lợi tiểu, thuốc giãn mạch, thuốc chẹn beta, hạn chế muối, nghỉ ngơi.","Kiểm soát huyết áp, điều trị bệnh tim mạch, lối sống lành mạnh.","Tim không bơm đủ máu cho cơ thể do nhiều nguyên nhân."
58,Nhồi máu cơ tim,"Đau ngực dữ dội, tức ngực, đau lan ra tay trái, hàm, lưng, khó thở, vô mồ hôi.","Cấp cứu ngay, thuốc tiêu sợi huyết, can thiệp mạch vành, phẫu thuật bắc cầu.","Kiểm soát huyết áp, đường huyết, mỡ máu, không hút thuốc, tập thể dục.","Tắc động mạch vành dẫn đến thiếu máu cơ tim, nguy hiểm tính mạng."
59,Đột quỵ (Tai biến mạch máu não),"Liệt nửa người, méo miệng, nói khó, đau đầu dữ dội, chóng mặt, rối loạn ý thức.","Cấp cứu ngay, thuốc tiêu sợi huyết (nếu xuất huyết não), phục hồi chức năng.","Kiểm soát huyết áp, đường huyết, mỡ máu, không hút thuốc, tập thể dục.","Tắc hoặc vỡ mạch máu não dẫn đến thiếu máu não, nguy hiểm tính mạng."
60,Động mạch vành,"Đau thắt ngực khi gắng sức, tức ngực, khó thở.","Thuốc giãn mạch vành, thuốc chống kết tập tiểu cầu, can thiệp mạch vành, phẫu thuật.","Kiểm soát huyết áp, đường huyết, mỡ máu, không hút thuốc, tập thể dục.","Hẹp động mạch vành do xơ vữa, giảm máu nuôi cơ tim."
61,Rối loạn nhịp tim,"Tim đập nhanh, chậm hoặc không đều, hồi hộp, chóng mặt, ngất.","Thuốc chống loạn nhịp, máy tạo nhịp tim, phá rung nhĩ.","Hạn chế caffeine, rượu bia, kiểm soát stress, điều trị bệnh tim.","Tim đập không đều do rối loạn hệ thống dẫn truyền điện tim."
62,Suy giáp,"Mệt mỏi, tăng cân, rụng tóc, da khô, táo bón, sợ lạnh.","Bổ sung hormone tuyến giáp (Levothyroxine) suốt đời.","Không có cách phòng ngừa cụ thể, theo dõi chức năng giáp định kỳ.","Tuyến giáp tiết ít hormone, làm chậm chuyển hóa."
63,Cường giáp,"Sụt cân, tim đập nhanh, run tay, mắt lồi, vã mồ hôi, lo lắng.","Thuốc kháng giáp, iod phóng xạ, phẫu thuật cắt giáp.","Không có cách phòng ngừa cụ thể, theo dõi chức năng giáp định kỳ.","Tuyến giáp tiết quá nhiều hormone, tăng tốc chuyển hóa."
64,Tiểu đường type 1,"Khát nước nhiều, đi tiểu nhiều, đói nhiều, sụt cân nhanh, mệt mỏi.","Tiêm insulin suốt đời, theo dõi đường huyết, chế độ ăn phù hợp.","Không có cách phòng ngừa, do tự miễn phá hủy tế bào tụy.","Tụy không tiết insulin do tự miễn, thường khởi phát ở trẻ em."
65,Hội chứng buồng trứng đa nang (PCOS),"Rối loạn kinh nguyệt, vô kinh, lông mọc nhiều, mụn trứng cá, khó thụ thai.","Thuốc tránh thai, thuốc hạ đường huyết, điều chỉnh lối sống, giảm cân.","Duy trì cân nặng hợp lý, tập thể dục, ăn uống lành mạnh.","Rối loạn nội tiết tố ở phụ nữ, buồng trứng có nhiều nang nhỏ."
66,Loãng xương,"Thường không triệu chứng, gãy xương dễ dàng, đau lưng, gù.","Bổ sung canxi, vitamin D, thuốc chống loãng xương, tập thể dục.","Ăn đủ canxi, vitamin D, tập thể dục chịu lực, không hút thuốc, hạn chế rượu.","Xương mất mật độ, trở nên xốp và dễ gãy."
67,Viêm khớp dạng thấp,"Đau, sưng khớp (đặc biệt tay, chân), cứng khớp buổi sáng, mệt mỏi.","Thuốc chống viêm, thuốc ức chế miễn dịch, vật lý trị liệu.","Không có cách phòng ngừa cụ thể, phát hiện và điều trị sớm.","Bệnh tự miễn gây viêm khớp mãn tính, có thể biến dạng khớp."
68,Thoái hóa khớp,"Đau khớp khi vận động, cứng khớp, sưng nhẹ, giảm vận động.","Thuốc giảm đau, bổ sung glucosamine, vật lý trị liệu, phẫu thuật thay khớp (nếu nặng).","Duy trì cân nặng hợp lý, tập thể dục nhẹ nhàng, tránh chấn thương khớp.","Sụn khớp bị mòn do tuổi tác hoặc chấn thương."
69,Đau thần kinh tọa,"Đau từ lưng lan xuống mông, đùi, cẳng chân, tê bì, yếu chân.","Thuốc giảm đau, vật lý trị liệu, tiêm corticoid, phẫu thuật (nếu nặng).","Tư thế ngồi đúng, tập thể dục tăng cường cơ lưng, tránh mang vác nặng.","Chèn ép dây thần kinh tọa do thoát vị đĩa đệm hoặc thoái hóa cột sống."
70,Thoát vị đĩa đệm,"Đau lưng, đau lan xuống chân, tê bì, yếu cơ.","Nghỉ ngơi, vật lý trị liệu, thuốc giảm đau, tiêm corticoid, phẫu thuật (nếu nặng).","Tư thế ngồi đúng, tập thể dục tăng cường cơ lưng, tránh mang vác nặng.","Đĩa đệm giữa các đốt sống bị thoát ra, chèn ép dây thần kinh."
71,Viêm gan do thuốc,"Mệt mỏi, buồn nôn, vàng da, đau bụng phải.","Ngừng thuốc gây hại, điều trị hỗ trợ, theo dõi chức năng gan.","Dùng thuốc theo chỉ định, tránh tự ý dùng thuốc, kiểm tra gan định kỳ khi dùng thuốc lâu dài.","Tổn thương gan do tác dụng phụ của thuốc."
72,Viêm tụy cấp,"Đau bụng trên dữ dội, buồn nôn, nôn, sốt.","Nhập viện, nhịn ăn, truyền dịch, giảm đau, điều trị nguyên nhân.","Hạn chế rượu bia, điều trị sỏi mật, tránh thuốc gây viêm tụy.","Viêm tụy đột ngột do sỏi mật, rượu hoặc thuốc."
73,Viêm tụy mãn,"Đau bụng trên kéo dài, tiêu chảy mỡ, sụt cân, tiểu đường.","Ngừng rượu, thuốc giảm đau, enzyme tụy, insulin (nếu tiểu đường).","Không uống rượu bia, ăn ít béo, điều trị viêm tụy cấp kịp thời.","Viêm tụy kéo dài, tổn thương tụy không hồi phục."
74,Sỏi mật,"Đau bụng phải trên, buồn nôn, nôn, vàng da (nếu tắc mật).","Phẫu thuật cắt túi mật, nội soi lấy sỏi.","Ăn ít béo, duy trì cân nặng hợp lý, tập thể dục.","Sỏi hình thành trong túi mật hoặc đường mật."
75,Viêm túi mật,"Đau bụng phải trên dữ dội, sốt, buồn nôn, vàng da.","Kháng sinh, phẫu thuật cắt túi mật.","Điều trị sỏi mật kịp thời, ăn uống lành mạnh.","Viêm túi mật thường do sỏi mật gây tắc."
76,Viêm ruột thừa,"Đau quanh rốn sau đó chuyển xuống hố chậu phải, sốt, buồn nôn, nôn.","Phẫu thuật cắt ruột thừa ngay.","Không có cách phòng ngừa cụ thể.","Viêm ruột thừa do tắc nghẽn, có thể vỡ gây viêm phúc mạc."
77,Viêm phúc mạc,"Đau bụng dữ dội toàn bộ, bụng cứng như ván, sốt cao, nôn.","Phẫu thuật cấp cứu, kháng sinh tĩnh mạch.","Điều trị kịp thời viêm ruột thừa, loét dạ dày thủng.","Viêm màng phúc mạc do nhiễm trùng, rất nguy hiểm."
