hospital_id,name,lat,lng,level,specialties,reputation_score,avg_cost_score,booking_url,address
HCM_037,Bệnh viện Tâm Anh TP.HCM,10.8219,106.6887,tư nhân,"đa khoa,thần kinh,chấn thương chỉnh hình",0.9,0.25,https://tamanhhospital.vn,"2B Phổ Quang, Tân Bình, TP.HCM"
HCM_038,Bệnh viện Tim Tâm Đức,10.7314,106.7229,chuyên khoa,"tim mạch,phẫu thuật tim",0.9,0.35,https://tamdichospital.com,"4 Nguyễn Lương Bằng, Q7, TP.HCM"
HCM_039,Bệnh viện Mắt Sài Gòn,10.7867,106.6981,tư nhân,"nhãn khoa,phẫu thuật mắt",0.84,0.3,https://matsaigon.com,"473 Cách Mạng Tháng 8, Q10, TP.HCM"
HCM_040,Bệnh viện Phụ sản Mê Kông,10.7928,106.6875,tư nhân,"sản khoa,phụ khoa,hiếm muộn",0.84,0.3,https://mekonghospital.vn,"243 Hoàng Văn Thụ, Phú Nhuận, TP.HCM"
HCM_041,Bệnh viện Đa khoa Vạn Hạnh,10.7708,106.6712,tư nhân,"đa khoa,nội khoa,ngoại khoa",0.78,0.4,https://benhvienvanhanh.vn,"781 Lê Hồng Phong, Q10, TP.HCM"
HCM_042,Bệnh viện An Bình,10.7518,106.6596,thành phố,"nội khoa,ngoại khoa",0.75,0.6,https://medpro.vn/,"146 An Bình, Q5, TP.HCM"
HCM_043,Bệnh viện Phú Nhuận,10.7991,106.6812,quận,"nội khoa,cấp cứu",0.65,0.85,https://medpro.vn/,"274 Nguyễn Trọng Tuyển, Phú Nhuận, TP.HCM"
HCM_044,Bệnh viện Bình Tân,10.7428,106.5986,quận,"đa khoa,cấp cứu",0.64,0.9,https://medpro.vn/,"809 Hương Lộ 2, Bình Tân, TP.HCM"
HCM_045,Bệnh viện Tân Phú,10.7906,106.6241,quận,"đa khoa,cấp cứu",0.64,0.9,https://medpro.vn/,"609 Âu Cơ, Tân Phú, TP.HCM"
HCM_046,Bệnh viện Hóc Môn,10.8894,106.5948,quận,"đa khoa,cấp cứu",0.63,0.9,https://medpro.vn/,"65 Lý Nam Đế, Hóc Môn, TP.HCM"
HCM_047,Bệnh viện Củ Chi,11.0066,106.5142,quận,"đa khoa,cấp cứu",0.62,0.9,https://medpro.vn/,"Tỉnh lộ 8, Củ Chi, TP.HCM"
HCM_048,Bệnh viện Bình Chánh,10.7432,106.5124,quận,"đa khoa,cấp cứu",0.62,0.9,https://medpro.vn/,"Nguyễn Hữu Trí, Bình Chánh, TP.HCM"
HCM_049,Bệnh viện Nhà Bè,10.6951,106.7379,quận,"đa khoa,cấp cứu",0.62,0.9,https://medpro.vn/,"281 Lê Văn Lương, Nhà Bè, TP.HCM"
HCM_050,Bệnh viện Cần Giờ,10.4112,106.9548,quận,"đa khoa,cấp cứu",0.6,0.95,https://medpro.vn/,"Đường Rừng Sác, Cần Giờ, TP.HCM"
HCM_051,Bệnh viện Đại học Y khoa Phạm Ngọc Thạch,10.7764,106.6826,thành phố,"nội khoa,ngoại khoa,y học gia đình",0.82,0.55,https://medpro.vn/,"86/2 Thành Thái, Q10, TP.HCM"
HCM_052,Bệnh viện Y học cổ truyền Trung ương TP.HCM,10.7719,106.6892,chuyên khoa,"y học cổ truyền,phục hồi chức năng",0.8,0.65,https://medpro.vn/,"29 Nguyễn Bỉnh Khiêm, Q1, TP.HCM"
HCM_053,Bệnh viện Quốc tế Hồng Ngọc TP.HCM,10.7823,106.7004,tư nhân,"đa khoa,nội khoa,ngoại khoa",0.8,0.3,https://hongngochospital.vn,"8 Nguyễn Bỉnh Khiêm, Q1, TP.HCM"
HCM_054,Bệnh viện Phụ sản Quốc tế Sài Gòn,10.7879,106.6904,tư nhân,"sản khoa,phụ khoa",0.82,0.3,https://benhvienphusanquoctesaigon.vn,"63 Bùi Thị Xuân, Q1, TP.HCM"
HCM_055,Bệnh viện Đa khoa Quốc tế Nam Sài Gòn,10.7298,106.7045,tư nhân,"đa khoa,nhi khoa,sản khoa",0.8,0.35,https://medpro.vn/,"88 Nguyễn Hữu Thọ, Q7, TP.HCM"
HCM_056,Bệnh viện Phục hồi chức năng TP.HCM,10.7722,106.6841,chuyên khoa,"phục hồi chức năng,vật lý trị liệu",0.8,0.6,https://medpro.vn/,"313 Âu Dương Lân, Q8, TP.HCM"
HCM_057,Bệnh viện An Lạc,10.7416,106.5953,tư nhân,"đa khoa,nội khoa,ngoại khoa",0.77,0.4,https://anlachospital.vn,"490 Kinh Dương Vương, Bình Tân, TP.HCM"
HCM_058,Bệnh viện Mắt Cao Thắng,10.7743,106.6899,tư nhân,"nhãn khoa",0.8,0.4,https://matcaothang.com,"135 Cao Thắng, Q3, TP.HCM"
HCM_059,Bệnh viện Quốc tế Ánh Dương,10.7861,106.6954,tư nhân,"đa khoa,nội khoa",0.74,0.4,https://medpro.vn/,"08 Nguyễn Thị Minh Khai, Q1, TP.HCM"
HCM_060,Bệnh viện Phương Nam,10.7584,106.7059,tư nhân,"đa khoa,nội khoa",0.73,0.45,https://medpro.vn/,"15 Nguyễn Văn Cừ, Q5, TP.HCM"
HCM_061,Bệnh viện Đa khoa Tân Bình,10.8012,106.6527,quận,"đa khoa,cấp cứu",0.65,0.85,https://medpro.vn/,"605 Hoàng Văn Thụ, Tân Bình, TP.HCM"
HCM_062,Bệnh viện Lê Minh Xuân,10.6917,106.5254,quận,"đa khoa,cấp cứu",0.62,0.9,https://medpro.vn/,"Ấp 3, Lê Minh Xuân, Bình Chánh, TP.HCM"
HCM_063,Bệnh viện Mắt Quốc tế Việt – Nga,10.7816,106.6928,tư nhân,"nhãn khoa,tật khúc xạ",0.83,0.3,https://matvietnga.com,"1-3 Lê Duẩn, Q1, TP.HCM"
HCM_064,Bệnh viện Phụ sản Hạnh Phúc,10.8934,106.7112,tư nhân,"sản khoa,nhi khoa",0.86,0.25,https://hanhphuchospital.com,"18 Đại lộ Bình Dương, Bình Dương"
HCM_065,Bệnh viện Quốc tế Minh Anh,10.8194,106.6681,tư nhân,"đa khoa,ngoại khoa",0.75,0.35,https://medpro.vn/,"36 Nguyễn Thế Truyện, Tân Phú, TP.HCM"
HCM_066,Bệnh viện Đa khoa Vạn Phúc,10.8395,106.7176,tư nhân,"đa khoa,nội khoa",0.74,0.4,https://medpro.vn/,"1 QL13, TP Thủ Đức"
HCM_067,Bệnh viện Đa khoa Đức Khang,10.7921,106.6854,tư nhân,"đa khoa,nội khoa",0.73,0.45,https://medpro.vn/,"23 Nguyễn Văn Trỗi, Phú Nhuận, TP.HCM"
HCM_068,Bệnh viện Quốc tế Minh Tâm,10.7714,106.6768,tư nhân,"đa khoa,ngoại khoa",0.72,0.45,https://medpro.vn/,"92 Lý Thường Kiệt, Q10, TP.HCM"
HCM_069,Bệnh viện Đa khoa Sài Gòn,10.7687,106.7002,tư nhân,"đa khoa,nội khoa,ngoại khoa",0.78,0.4,https://benhviendakhoasaigon.vn,"125 Lê Lợi, Q1, TP.HCM"
HCM_070,Bệnh viện Đa khoa Quốc tế Sài Gòn,10.7759,106.7023,tư nhân,"đa khoa,nội khoa",0.77,0.4,https://medpro.vn/,"441 Lê Văn Sỹ, Q3, TP.HCM"
